tconst,avg(nconst_rating)
tt0022207,6.390709982529069
tt0022208,7.515496226071174
tt0022211,6.493889178351315
tt0022229,7.048159684066402
tt0022236,7.658977296518717
tt0022252,7.3639864099660235
tt0022268,7.365989255474727
tt0022276,8.019226677008813
tt0022277,7.081505307361494
tt0022285,6.705000400784884
tt0022286,7.380638926922889
tt0022290,6.814264669407093
tt0022293,6.83517566626405
tt0022296,7.9111839865835325
tt0022297,7.145664147437987
tt0022308,7.023548189726311
tt0022317,6.626715845317009
tt0022323,7.834017879470032
tt0022326,7.254601081328746
tt0022349,6.58820895522388
tt0022356,6.402229140248109
tt0022357,6.576422160546164
tt0022359,7.295304467236718
tt0022363,7.8091833368441606
tt0022386,6.826906433147062
tt0022392,7.113598314326383
tt0022397,6.728519950477542
tt0022400,7.361639490827732
tt0022404,7.912708822690053
tt0022414,6.839252879273399
tt0022417,6.567760943901266
tt0022418,7.3266715999948815
tt0022422,7.307417157358948
tt0022424,6.7544179478867985
tt0022425,7.327874548558935
tt0022448,7.132620587930575
tt0022452,7.50121579138325
tt0022453,7.84130278741105
tt0022463,6.430297687703501
tt0022468,7.145980469296977
tt0022469,6.834055495761436
tt0022477,7.2359026769586015
tt0022478,7.110072669683822
tt0022479,7.004350676766973
tt0022483,6.746315983638408
tt0022484,6.477895750941812
tt0022489,7.943780598824764
tt0022490,7.881419965058137
tt0022525,7.614719200354905
tt0022527,6.640709982529069
tt0022539,7.2471083371986476
tt0022545,7.4421043371897335
tt0022551,7.512995135356248
tt0022558,7.290040153343087
tt0022582,7.625187113109921
tt0022589,6.23579913172474
tt0022596,7.003470176121869
tt0022605,7.286210933459712
tt0022608,6.372752604724895
tt0022615,7.673464712134418
tt0022620,7.733797557984918
tt0022622,6.611589905324307
tt0022628,7.553581582377825
tt0022641,7.766851334744282
tt0022658,6.9156889199315925
tt0022660,7.455691955056056
tt0022675,7.200575095129453
tt0022676,7.814225010449544
tt0022681,7.497872295273177
tt0022685,7.4915237181063095
tt0022689,6.867184713199504
tt0022691,6.510169525781632
tt0022695,7.64135083679042
tt0022698,8.069923560769112
tt0022699,7.633244431610722
tt0022701,6.6587524658294655
tt0022706,7.217463205093203
tt0022726,7.313559974586904
tt0022734,7.0938152884647865
tt0022735,7.48339786175429
tt0022737,6.8267167232264105
tt0022742,5.984973227392405
tt0022746,6.481747651391018
tt0022748,7.014307558746801
tt0022751,6.648132624877131
tt0022769,7.269810269490593
tt0022778,7.4218457902406385
tt0022792,7.48542937248039
tt0022797,7.320169404669809
tt0022802,7.4393031738053175
tt0022814,7.343289139841404
tt0022822,7.450380579047089
tt0022826,6.406733864545177
tt0022845,7.21185567655196
tt0022854,6.562994590694364
tt0022858,7.8781803800678745
tt0022859,6.969536043244267
tt0022860,7.110494073642884
tt0022867,6.671090556051397
tt0022869,7.345842385388761
tt0022873,7.201729366845971
tt0022876,6.67300999179083
tt0022877,7.108389691036219
tt0022879,7.405426137596195
tt0022881,7.422663380965799
tt0022905,7.162397737311028
tt0022912,7.158184283085382
